bridge_name,startup_jump_count,known_system_gap_hours,device_gap_hours,stuck_events,drift_events,step_events,spike_events
大岗沥大桥_20251201_20260318,1606,9288.67,3106.0,91,17692,6145,6839
子沙大桥_20251201_20260318,4210,6148.0,2268.5,165,17045,3976,2468
新榄核大桥_20251201_20260318,4711,6671.0,1920.17,65,15203,3640,3880
新浅海大桥_20251201_20260318,3626,7347.83,3405.0,99,24723,3479,2942
榄核桥_20251201_20260318,3312,4710.33,1444.83,27,24245,7362,4952
民生桥_20251201_20260318,3161,3994.5,989.17,248,13923,11181,3841
沥心沙大桥_20251201_20260318,7498,15594.33,13562.5,33410,62030,30417,11022
浅海大桥_20251201_20260318,5307,4859.0,2837.5,113,18125,7474,4791
灵岗一桥_20251201_20260318,3482,4807.17,1526.0,295,17796,5655,12529
灵岗二桥_20251201_20260318,3406,4758.5,1517.83,70,23711,3528,5117
蕉门水道特大桥_20251201_20260318,11279,43925.67,15992.83,99295,75214,25111,31469
西樵水道特大桥_20251201_20260318,10347,37913.67,12585.17,93184,97513,15524,20667
高新沙大桥_20251201_20260318,9041,6008.33,4382.83,1398,30769,4870,4026
